Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
E0,01/01/18,Brighton,Bournemouth,2,2,D,1,1,D,M Oliver,15,26,6,8,13,9,5,12,2,1,0,0,2.37,3.2,3.39,2.35,3.1,3.3,2.3,3.15,3.3,2.35,3,3.25,2.46,3.11,3.44,2.4,3.1,3.3,2.45,3.13,3.4,35,2.55,2.39,3.2,3.1,3.5,3.29,32,2.62,2.46,1.6,1.55,19,-0.25,2.08,2.03,1.88,1.85,2.47,3.05,3.48
E0,01/01/18,Burnley,Liverpool,1,2,A,0,0,D,R East,13,19,4,5,4,12,3,9,0,0,0,0,7.5,4.5,1.5,7.25,4.4,1.45,6.2,4,1.55,6.5,4.2,1.5,7.31,4.45,1.52,7,4.33,1.5,7.5,4.4,1.5,35,7.6,6.96,4.6,4.31,1.55,1.5,34,1.85,1.8,2.08,2.02,20,1,2.08,2.04,1.87,1.82,6.6,3.8,1.65
E0,01/01/18,Everton,Man United,0,2,A,0,0,D,A Marriner,12,21,0,6,11,10,6,6,2,0,0,0,5.5,3.5,1.8,5.25,3.5,1.75,4.4,3.7,1.8,5,3.4,1.75,5.49,3.59,1.79,5.5,3.4,1.75,5.4,3.5,1.8,35,5.5,5.17,3.8,3.49,1.85,1.78,33,2.44,2.29,1.7,1.63,19,0.75,1.88,1.85,2.07,2.02,5.6,3.89,1.71
E0,01/01/18,Leicester,Huddersfield,3,0,H,0,0,D,G Scott,11,6,5,1,7,9,4,1,1,1,0,0,1.66,3.79,6,1.62,3.9,5.75,1.7,3.9,4.8,1.61,3.7,5.5,1.65,4.08,6.01,1.67,3.75,5.5,1.67,3.9,5,35,1.7,1.65,4.08,3.85,6.25,5.63,34,2.07,2,1.91,1.82,19,-0.75,1.86,1.82,2.14,2.06,1.83,3.52,5.23
E0,01/01/18,Stoke,Newcastle,0,1,A,0,0,D,C Kavanagh,11,14,4,6,10,11,10,5,2,1,0,0,2.29,3.29,3.5,2.2,3.3,3.4,2.2,3.35,3.3,2.3,3.2,3.2,2.36,3.26,3.44,2.3,3.2,3.4,2.38,3.3,3.3,35,2.41,2.3,3.45,3.28,3.5,3.28,33,2.14,2.07,1.85,1.77,20,-0.25,2.02,1.97,1.96,1.9,2.31,3.28,3.54
E0,02/01/18,Man City,Watford,3,1,H,2,0,H,L Mason,17,7,7,4,8,12,9,1,1,1,0,0,1.12,8.5,19,1.16,8,16.5,1.12,9,20,1.17,7.5,19,1.18,8.7,16.95,1.15,8,19,1.15,8.5,21,35,1.21,1.16,9.55,8.1,25.7,17.55,28,1.37,1.33,3.75,3.29,20,-2,1.8,1.74,2.25,2.16,1.13,10.8,21.5
E0,02/01/18,Southampton,Crystal Palace,1,2,A,1,0,H,S Attwell,10,11,3,4,8,11,4,7,0,1,0,0,1.9,3.39,4,1.91,3.5,4.1,2.1,3.4,3.5,1.91,3.4,4.2,2.05,3.43,4.16,1.95,3.4,4.2,2,3.5,4,35,2.1,1.98,3.6,3.42,4.4,3.99,33,2.13,2.02,1.86,1.8,18,-0.75,2.4,2.28,1.71,1.66,2.07,3.37,4.16
E0,02/01/18,Swansea,Tottenham,0,2,A,0,1,A,R Madley,8,12,1,5,12,9,6,5,2,2,0,0,12,4.75,1.3,10.5,5.5,1.3,8.7,5.3,1.33,10,4.8,1.33,10.54,5.51,1.34,11,5.5,1.3,11,5.25,1.33,35,12.5,10.32,5.55,5.22,1.37,1.32,33,1.83,1.75,2.2,2.08,19,1.5,1.95,1.89,2.05,1.99,8.02,4.51,1.48
E0,02/01/18,West Ham,West Brom,2,1,H,0,1,A,M Jones,13,10,5,3,12,12,3,4,3,2,0,0,1.9,3.39,4.09,1.9,3.4,4.33,2.1,3.4,3.5,1.91,3.2,4.33,1.98,3.41,4.51,1.95,3.3,4.33,1.95,3.4,4.5,35,2.1,1.94,3.5,3.33,4.6,4.24,29,2.45,2.36,1.65,1.59,17,-0.5,2.01,1.95,1.98,1.93,2.19,3.21,3.98
E0,03/01/18,Arsenal,Chelsea,2,2,D,0,0,D,A Taylor,14,19,6,6,11,11,10,8,3,2,0,0,2.6,3.39,2.6,2.7,3.4,2.6,2.6,3.3,2.75,2.62,3.5,2.5,2.8,3.51,2.64,2.7,3.3,2.7,2.75,3.5,2.63,35,2.8,2.68,3.65,3.4,2.8,2.62,30,1.7,1.65,2.35,2.24,18,-0.25,2.4,2.29,1.74,1.66,3.32,3.42,2.34
E0,04/01/18,Tottenham,West Ham,1,1,D,0,0,D,M Dean,31,3,8,1,10,6,7,1,0,2,0,0,1.25,6,10,1.25,5.75,10.5,1.35,5.3,8,1.28,5.5,11,1.26,6.25,12.7,1.29,6,10,1.29,6,12,32,1.35,1.28,6.5,5.86,13,10.66,27,1.61,1.55,2.55,2.43,16,-1.75,2.13,2.05,1.85,1.81,1.29,6.1,12.2
